(1629623090.506000) can0  220#65104E128A0D
(1629623090.703000) can0  200#758C5A88409D3A00
(1629623090.704000) can0  240#96070000
(1629623090.977000) can0  200#8C87A382EA483800
(1629623090.977000) can0  240#9D070000
(1629623091.540000) can0  220#70108B128A0D
(1629623091.251000) can0  200#9F88FA82A0BB3800
(1629623091.251000) can0  240#C3070000
(1629623091.328000) can0  220#72108B128A0D
(1629623091.602000) can0  220#7A108B128A0D
(1629623091.799000) can0  200#637D6074150C3300
(1629623091.799000) can0  240#85090000
(1629623091.876000) can0  220#86108B12D10D
(1629623092.730000) can0  200#3B83E27C8D393600
(1629623092.730000) can0  240#8E090000
(1629623092.149000) can0  220#92108B12D10D
(1629623092.346000) can0  200#33780B6E15E53000
(1629623092.346000) can0  240#B2090000
(1629623092.423000) can0  220#9F10E712D10D
(1629623092.620000) can0  200#837A64717ED73100
(1629623092.620000) can0  240#45090000
(1629623092.697000) can0  220#AA10E712DA0D
(1629623092.894000) can0  200#D37DF2769CBA3300
(1629623092.894000) can0  240#41090000
(1629623092.971000) can0  220#B510E712DA0D
(1629623093.168000) can0  200#D176636DAE393000
(1629623093.168000) can0  240#DB080000
(1629623093.244000) can0  220#BB10E712040E
(1629623093.441000) can0  200#4784267E36B13600
(1629623093.442000) can0  240#16070000
(1629623093.518000) can0  220#B810E712040E
(1629623093.715000) can0  200#BE8C1A880B923A00
(1629623093.715000) can0  240#AA060000
(1629623093.792000) can0  220#BB10E712040E
(1629623093.989000) can0  200#798BE086CB153A00
(1629623093.989000) can0  240#BB070000
(1629623094.660000) can0  220#C4100313040E
(1629623094.263000) can0  200#378A9E7F911B3700
(1629623094.263000) can0  240#C7060000
(1629623094.537000) can0  200#D58C3D8813A43A00
(1629623094.537000) can0  240#73070000
(1629623094.613000) can0  220#CC100313040E
(1629623094.810000) can0  200#B78CDE8113323800
(1629623094.811000) can0  240#8E070000
(1629623094.887000) can0  220#CC100313040E
(1629623095.840000) can0  200#9287C781EE053800
(1629623095.840000) can0  240#A5080000
(1629623095.161000) can0  220#CC100313F30D
(1629623095.358000) can0  200#9586437D456A3600
(1629623095.358000) can0  240#A0080000
(1629623095.435000) can0  220#D3100313F30D
(1629623095.632000) can0  200#82792F70065F3100
(1629623095.632000) can0  240#0B0A0000
(1629623095.709000) can0  220#DE108913F30D
(1629623095.906000) can0  200#6476406C53EB2F00
(1629623095.906000) can0  240#A4060000
(1629623095.982000) can0  220#D6108913C60D
(1629623096.179000) can0  200#048DFE88D8E23A00
(1629623096.179000) can0  240#B6060000
(1629623096.256000) can0  220#CF108913C60D
(1629623096.453000) can0  200#268DB38890C83A00
(1629623096.453000) can0  240#AD060000
(1629623096.530000) can0  220#C9108913C60D
(1629623096.727000) can0  200#C78DC5887AF03A00
(1629623096.727000) can0  240#E5060000
(1629623096.804000) can0  220#CF108913C60D
